,neighborhood,neighborhood_no,area,1990,2000,2010,2020,change,frac_change,density,change2000to2010,perc_change2000to2010,frac2020
0,Upper Queen Anne,106,52.65872029,125,126,136,201,65,0.47794117647058826,3.8170316121064247,10,0.07936507936507936,0.001881300249904063
1,Fremont,302,214.511083,266,171,215,339,124,0.5767441860465117,1.5803379259429686,44,0.2573099415204678,0.003172939227450136
2,West Seattle Junction,205,270.4170255,413,434,438,677,239,0.545662100456621,2.5035405916037634,4,0.009216589861751152,0.006336518752164432
3,Columbia City,111,334.5433404,1335,1423,968,1478,510,0.5268595041322314,4.417962701731904,-455,-0.31974701335207306,0.01383364064357316
4,First Hill/Capitol Hill,414,916.2218015,1729,1881,1786,1894,108,0.060470324748040316,2.0671850384909227,-95,-0.050505050505050504,0.01772727698168306
5,Roosevelt,202,170.2117761,295,281,333,465,132,0.3963963963963964,2.7318908870724132,52,0.18505338078291814,0.004352261772166116
6,South Lake Union,312,339.886927,80,122,158,549,391,2.4746835443037973,1.6152430599368124,36,0.29508196721311475,0.005138476801976769
7,University District,401,751.9638778,592,559,452,936,484,1.0707964601769913,1.2447406419819387,-107,-0.19141323792486584,0.008760681760747279
8,Crown Hill,103,270.9887543,579,644,747,927,180,0.24096385542168675,3.420806159999386,103,0.15993788819875776,0.00867644443612471
9,Westwood-Highland Park,127,275.0621961,970,1091,1093,947,-146,-0.13357731015553523,3.4428577006478718,2,0.0018331805682859762,0.00886363849084153
10,Lake City,201,142.2670425,253,394,507,622,115,0.22682445759368836,4.372059677841409,113,0.2868020304568528,0.00582173510169317
11,Greater Duwamish,502,4953.281793,148,213,135,245,110,0.8148148148148148,0.04946215665465169,-78,-0.36619718309859156,0.002293127170281072
12,Madison-Miller,131,145.3234203,480,334,450,482,32,0.07111111111111111,3.316739992803486,116,0.3473053892215569,0.004511376718675415
13,Green Lake,207,107.4446385,103,94,163,265,102,0.6257668711656442,2.466386445145888,69,0.7340425531914894,0.002480321224997894
14,Northgate,301,412.2911233,439,685,826,862,36,0.043583535108958835,2.090755660952645,141,0.20583941605839415,0.008068063758295036
15,North Beacon Hill,110,266.8762908,1001,992,803,857,54,0.06724782067247821,3.2112256859948833,-189,-0.1905241935483871,0.00802126524461583
16,Ballard-Interbay-Northend,501,931.9728637,107,66,67,205,138,2.0597014925373136,0.21996348604629443,1,0.015151515151515152,0.0019187390608474274
17,Greenwood-Phinney Ridge,102,94.15764497,260,355,374,410,36,0.0962566844919786,4.3543994768627865,19,0.05352112676056338,0.003837478121694855
18,Downtown,413,953.2817465,276,755,733,1607,874,1.1923601637107777,1.6857555553750445,-22,-0.02913907284768212,0.015041042296496663
19,Uptown,412,333.000698,172,147,222,596,374,1.6846846846846846,1.7897860382262623,75,0.5102040816326531,0.005578382830561301
20,Rainier Beach,204,346.1438736,1159,1193,1087,1280,193,0.17755289788408463,3.697884312345663,-106,-0.08885163453478626,0.011980419501876621
21,23rd & Union-Jackson,109,625.2664128,2036,2103,1813,1902,89,0.049089906232763374,3.0419033568150105,-290,-0.1378982406086543,0.017802154603569792
22,Bitter Lake Village,114,363.7795662,379,396,597,929,332,0.5561139028475712,2.5537443174838774,201,0.5075757575757576,0.00869516384159639
23,Mt Baker,305,491.0180584,931,1016,1046,1072,26,0.0248565965583174,2.1832190927827595,30,0.02952755905511811,0.01003360133282167
24,Admiral,113,98.24835065,145,159,198,215,17,0.08585858585858586,2.188331901528975,39,0.24528301886792453,0.0020123360882058385
25,Aurora-Licton Springs,101,326.9585992,745,736,799,828,29,0.03629536921151439,2.5324307176075034,63,0.08559782608695653,0.007749833865276438
26,Morgan Junction,206,113.3093773,191,243,268,294,26,0.09701492537313433,2.5946660991843613,25,0.102880658436214,0.002751752604337286
27,Eastlake,107,199.2559558,142,116,202,340,138,0.6831683168316832,1.7063479916317763,86,0.7413793103448276,0.0031822989301859774
28,Wallingford,203,258.0056129,448,477,701,839,138,0.19686162624821682,3.25186723873789,224,0.469601677148847,0.00785279059537069
29,Ballard,303,495.4763052,951,892,964,1343,379,0.39315352697095435,2.7105231590396546,72,0.08071748878923767,0.01257008077423461
30,South Park,128,263.7986201,638,855,855,685,-170,-0.19883040935672514,2.5966777223487076,0,0.0,0.0064113963740511605
31,Othello,123,498.9632413,2338,2088,2759,2817,58,0.021022109459949256,5.645706470602086,671,0.321360153256705,0.026366282606864407
